t,p,v
3.75,0.239757,-0.27097
3.8,0.237699,0.1676888889
3.85,0.2563925,0.6044422222
3.9,0.2985815,1.020043889
3.95,0.3620365,1.353420833
4,0.438011,1.589138056
4.05,0.524104,1.736723333
4.1,0.6158565,1.782456667
4.15,0.7064085,1.727957778
4.2,0.790958,1.596569722
4.25,0.870877,1.351705833
4.3,0.9321025,0.9786933333
4.35,0.968975,0.5766211111
4.4,0.990927,0.14406
4.45,0.9852675,-0.3156552778
4.5,0.956284,-0.7133447222
4.55,0.911008,-1.046531111
4.6,0.849611,-1.324456389
4.65,0.777238,-1.558649167
4.7,0.6913165,-1.724146667
4.75,0.6000785,-1.774453333
4.8,0.5081545,-1.690037222
4.85,0.426349,-1.4894775
4.9,0.35672,-1.214696389
4.95,0.302526,-0.8756027778
5,0.265825,-0.4643838889
5.05,0.2550205,-0.02543916667
5.1,0.26411,0.4002619444
5.15,0.2958375,0.8029058333
5.2,0.34643,1.1533375
5.25,0.4138295,1.437360556
5.3,0.4937485,1.630488611
5.35,0.5801845,1.731768889
5.4,0.6724515,1.702232778
5.45,0.7554575,1.552360833
5.5,0.830403,1.325599722
5.55,0.890428,1.033668611
5.6,0.935704,0.6919072222
5.65,0.961772,0.3012683333
5.7,0.9664025,-0.104615
5.75,0.950796,-0.4987791667
5.8,0.9152955,-0.8616922222
5.85,0.8621305,-1.167915
5.9,0.796789,-1.423831111
5.95,0.717556,-1.615148889
6,0.630434,-1.6935625
6.05,0.543655,-1.659834167
6.1,0.460649,-1.525873611
6.15,0.387247,-1.297016389
6.2,0.3280795,-0.9937472222
6.25,0.285719,-0.6332161111
6.3,0.262738,-0.2252366667
6.35,0.262395,0.2021794444
6.4,0.2834895,0.6172094444
6.45,0.325507,0.9955575
6.5,0.385875,1.305210278
6.55,0.459277,1.532447778
6.6,0.542626,1.6678375
6.65,0.630434,1.697087778
6.7,0.7163555,1.624676667
6.75,0.79576,1.468230556
6.8,0.8676185,1.208693889
6.85,0.9207835,0.8569283333
6.9,0.9530255,0.4893466667
6.95,0.9708615,0.094325
7,0.964859,-0.3383313889
7.05,0.9341605,-0.7178227778
7.1,0.890771,-1.046626389
7.15,0.8288595,-1.341606389
7.2,0.7537425,-1.562269722
7.25,0.6679925,-1.675173889
7.3,0.581728,-1.676984167
7.35,0.497007,-1.588756944
7.4,0.419146,-1.406966944
7.45,0.352947,-1.141237222
7.5,0.3023545,-0.8068122222
7.55,0.2701125,-0.4190316667
7.6,0.259308,-0.001238611111
7.65,0.2697695,0.4212230556
7.7,0.30184,0.8253913889
7.75,0.355348,1.161340833
7.8,0.4220615,1.403822778
7.85,0.49735,1.588756944
7.9,0.5849865,1.674506944
7.95,0.669193,1.653831667
8,0.7537425,1.541403889
8.05,0.8278305,1.321312222
8.1,0.888713,1.027761389
8.15,0.93296,0.6776155556
8.2,0.957313,0.3093669444
8.25,0.9622865,-0.0420175
8.3,0.9526825,-0.3956886111
8.35,0.928844,-0.8474958333
8.4,0.867104,-1.2691
8.45,0.79233,-1.502911667
8.5,0.7118965,-1.613910278
8.55,0.6288905,-1.64983
8.6,0.5441695,-1.6121
8.65,0.4635645,-1.477663056
8.7,0.3932495,-1.260429722
8.75,0.334425,-0.9643063889
8.8,0.2937795,-0.5972011111
8.85,0.2735425,-0.1968438889
8.9,0.273714,0.2148513889
8.95,0.2951515,0.6190197222
9,0.3373405,0.9811705556
9.05,0.3959935,1.276722222
9.1,0.4680235,1.499100556
9.15,0.549143,1.634680833
9.2,0.6336925,1.693657778
9.25,0.726131,1.586660833
9.3,0.7983325,1.345798611
9.35,0.8607585,1.078544444
9.4,0.9074065,0.7756563889
9.45,0.938791,0.4568569444
9.5,0.9554265,0.08717916667
9.55,0.948738,-0.3101291667
9.6,0.9245565,-0.7070563889
9.65,0.876708,-1.065015
9.7,0.813253,-1.318739722
9.75,0.74088,-1.478711111
9.8,0.663705,-1.577323611
9.85,0.580013,-1.597141389
9.9,0.4988935,-1.520176
9.95,0.428407,-1.443553611
10,0.359121,-1.404203889
